Timestamp,User,Action,Details
2026-02-13 14:29:08,zayn,Login,Super Admin successfully logged into the system
2026-02-13 14:35:25,zayn,Login,Successful Login
2026-02-13 14:35:49,zayn,Login,Successful Login
2026-02-13 14:56:58,zayn,Login,Successful Login
2026-02-13 14:57:38,zayn,Login,Successful Login
2026-02-13 15:02:03,zayn,Login,Successful Login
2026-02-13 15:02:24,zayn,Directory Edit,Updated employee list via Data Editor
2026-02-13 15:02:26,zayn,Directory Edit,Updated employee list via Data Editor
2026-02-13 15:02:26,zayn,Directory Edit,Updated employee list via Data Editor
2026-02-13 15:07:21,zayn,Add Employee,Added Hassan Ali
2026-02-13 15:13:14,zayn,Login,Successful Login
2026-02-13 15:20:37,zayn,Login,Successful Login
2026-02-13 15:20:47,zayn,Delete Employee,Deleted Zayn Iftikhar
2026-02-13 15:26:05,zayn,Login,Successful Login
2026-02-13 15:26:31,zayn,Edit Employee,Modified Hassan Ali
2026-02-13 15:26:35,zayn,Delete Employee,Removed Hassan Ali
2026-02-13 15:26:52,zayn,Edit Employee,Modified Hassan
2026-02-13 15:43:54,zayn,Login,Successful Login
2026-02-13 15:44:17,zayn,Add Employee,Onboarded Dawood
2026-02-13 15:44:18,zayn,Add Employee,Onboarded Dawood
2026-02-13 15:44:38,zayn,Delete Employee,Removed Hassan
2026-02-13 15:48:40,zayn,Delete Employee,Removed Dawood
2026-02-13 15:48:48,zayn,Edit Employee,Updated Dawood
2026-02-13 15:48:53,zayn,Edit Employee,Updated Dawood
2026-02-13 15:49:11,zayn,Edit Employee,Updated Dawood
2026-02-13 16:34:45,zayn,Edit Employee,Updated Dawood
2026-02-13 16:37:40,zayn,Payroll,Batch for January 2025
2026-02-13 17:07:38,zayn,Login,Successful Login
2026-02-13 17:08:03,zayn,Config,Updated attendance deduction rules
2026-02-13 17:14:11,zayn,Login,Successful Login
2026-02-13 17:14:41,zayn,Payroll,Executed January 2025
2026-02-13 17:20:12,zayn,Login,Successful Login
2026-02-13 17:20:44,zayn,Payroll,Executed January 2025
2026-02-13 17:26:39,zayn,Payroll,Executed February 2025
2026-02-13 17:27:57,zayn,Payroll,Executed January 2025
2026-02-13 17:36:36,zayn,Login,Successful Login
2026-02-13 17:39:39,zayn,Login,Successful Login
2026-02-13 17:40:08,zayn,Payroll,Executed January 2025
2026-02-13 17:47:51,zayn,Login,Successful Login
2026-02-13 17:54:32,zayn,Login,Successful Login
2026-02-13 18:14:30,zayn,Login,Successful Login
2026-02-13 18:18:05,zayn,Edit,Updated Dawood
2026-02-13 18:18:15,zayn,Attendance,Logged attendance for 2026-02-13
2026-02-13 18:18:38,zayn,Attendance,Logged attendance for 2026-02-10
2026-02-13 18:19:53,zayn,Payroll,Batch January 2025
2026-02-13 18:20:19,zayn,Attendance,Logged attendance for 2026-02-13
2026-02-13 18:20:24,zayn,Attendance,Logged attendance for 2026-02-03
2026-02-13 18:20:46,zayn,Payroll,Batch February 2025
2026-02-13 18:24:12,zayn,Add,Onboarded Hassan Ali
2026-02-13 18:24:26,zayn,Attendance,Logged attendance for 2026-02-13
2026-02-13 18:24:35,zayn,Payroll,Batch January 2025
2026-02-13 18:26:27,zayn,Login,Successful Login
2026-02-13 18:27:04,zayn,Attendance,Updated 2026-02-13
2026-02-13 18:27:31,zayn,Attendance,Updated 2026-02-13
2026-02-13 18:27:32,zayn,Attendance,Updated 2026-02-13
2026-02-13 18:42:42,zayn,Login,Successful Login
2026-02-13 18:52:23,zayn,Login,Successful Login
2026-02-13 18:56:41,zayn,Login,Successful Login
2026-02-13 19:03:53,zayn,Attendance,Updated 2026-02-13
2026-02-13 19:08:06,zayn,Login,Successful Login
2026-02-13 19:08:14,zayn,Attendance,Updated 2026-02-13
2026-02-13 19:23:16,zayn,Attendance,Updated 2026-02-13
2026-02-13 19:23:34,zayn,Attendance,Updated 2026-02-13
2026-02-13 19:34:18,zayn,Attendance,Updated 2026-02-13
2026-02-13 19:34:44,zayn,Attendance,Updated 2026-02-13
2026-02-13 19:34:44,zayn,Attendance,Updated 2026-02-13
2026-02-13 19:34:45,zayn,Attendance,Updated 2026-02-13
2026-02-13 19:34:45,zayn,Attendance,Updated 2026-02-13
2026-02-13 19:36:53,zayn,Attendance,Updated 2026-02-13
2026-02-13 19:36:58,zayn,Attendance,Updated 2026-02-12
2026-02-13 19:39:23,zayn,Attendance,Updated 2026-02-13
2026-02-13 19:39:26,zayn,Attendance,Updated 2026-02-13
2026-02-13 19:40:50,zayn,Attendance,Updated 2026-02-10
2026-02-13 19:40:51,zayn,Attendance,Updated 2026-02-10
2026-02-13 19:41:21,zayn,Attendance,Updated 2026-02-02
2026-02-13 19:44:54,zayn,Attendance,Updated 2026-02-13
2026-02-13 19:45:32,zayn,Attendance,Updated 2026-02-11
2026-02-13 19:57:31,zayn,Login,Successful Login
